ID;Heatpump;Electric_Vehicle;PV_Installation;Category
1;0;1;0;EV_NoPV
2;0;0;0;NONE
3;0;0;0;NONE
4;0;0;0;NONE
5;0;1;1;EV+PV
6;0;0;1;Only_PV
7;0;0;1;Only_PV
8;0;0;0;NONE
9;0;1;0;EV_NoPV
10;0;1;1;EV+PV
11;0;0;1;Only_PV
12;0;0;0;NONE
13;0;0;0;NONE
14;0;0;0;NONE
15;1;0;1;PV+HP
16;0;1;1;EV+PV
17;0;1;1;EV+PV
18;0;1;0;EV_NoPV
19;0;1;0;EV_NoPV
20;0;0;1;Only_PV
21;0;0;0;NONE
22;0;1;0;EV_NoPV
23;0;0;1;Only_PV
24;0;1;1;EV+PV
25;0;1;1;EV+PV
26;0;1;1;EV+PV
27;0;0;0;NONE
28;0;1;1;EV+PV
29;0;0;1;Only_PV
30;0;1;1;EV+PV
31;0;1;1;EV+PV
32;0;0;0;NONE
33;0;1;1;EV+PV
34;0;0;0;NONE
35;0;1;1;EV+PV
36;0;1;1;EV+PV
37;0;0;0;NONE
38;0;0;0;NONE
39;0;0;0;NONE
40;0;0;0;NONE
41;0;1;1;EV+PV
42;0;0;0;NONE
43;0;1;0;EV_NoPV
44;0;0;1;Only_PV
45;0;0;0;NONE
46;0;1;1;EV+PV
47;0;1;1;EV+PV
48;0;0;0;NONE
49;0;0;1;Only_PV
50;0;0;1;Only_PV
51;0;0;1;Only_PV
52;1;0;1;PV+HP
53;0;0;0;NONE
54;0;1;1;EV+PV
55;0;0;0;NONE
56;0;1;1;EV+PV
57;0;0;0;NONE
58;0;0;1;Only_PV
59;0;0;0;NONE
60;0;0;1;Only_PV
61;0;1;1;EV+PV
62;0;0;1;Only_PV
63;0;0;0;NONE
64;0;0;0;NONE
65;0;0;0;NONE
66;0;0;0;NONE
67;0;0;0;NONE
68;0;0;0;NONE
69;0;0;0;NONE
70;0;0;0;NONE
71;0;0;0;NONE
72;0;0;0;NONE
73;0;0;0;NONE
74;0;0;0;NONE
75;0;0;0;NONE
76;0;0;0;NONE
77;0;1;0;EV_NoPV
78;0;0;0;NONE
79;0;1;0;EV_NoPV
80;0;1;0;EV_NoPV
81;0;0;0;NONE
82;0;0;1;Only_PV
83;0;0;0;NONE
84;0;1;1;EV+PV
85;0;0;1;Only_PV
86;0;0;1;Only_PV
87;0;0;1;Only_PV
88;0;0;0;NONE
89;0;0;1;Only_PV
90;0;0;1;Only_PV
91;1;0;1;PV+HP
92;0;1;1;EV+PV
93;0;0;1;Only_PV
